480	2.6776
481	3.44262
482	3.82514
484	4.97268
485	6.88525
486	23.33333
488	45.90164
489	52.02186
491	70
492	68.08743
493	61.5847
494	45.90164
495	30.60109
496	19.5082
497	24.86339
498	18.36066
499	14.53552
500	14.15301
501	12.62295
502	11.0929
503	11.47541
504	10.32787
505	8.79781
506	7.65027
509	4.97268
510	4.59016
511	3.82514
512	4.59016
513	4.97268
514	4.59016
516	3.44262
518	3.44262
520	3.82514
521	3.82514
522	4.97268
524	3.06011
526	3.06011
527	4.20765
528	3.06011
529	3.06011
530	3.06011
532	3.06011
533	3.06011
535	3.06011
537	2.6776
538	2.6776
540	2.6776
543	3.06011
544	3.06011
545	3.06011
546	3.06011
547	2.29508
550	3.82514
551	4.59016
552	2.6776
553	5.35519
554	2.6776
555	2.6776
556	2.6776
557	2.6776
558	3.06011
559	2.6776
560	2.6776
566	2.6776
567	1.91257
568	2.29508
569	2.29508
570	1.91257
571	2.29508
572	2.29508
573	1.53005
574	1.53005
575	2.29508
